<DATE>;<CLOSE.F>
05.02.2019;1.2955000
06.02.2019;1.2936000
07.02.2019;1.2949000
08.02.2019;1.2935000
09.02.2019;1.2937000
10.02.2019;1.2946000
11.02.2019;1.2862000
12.02.2019;1.2895000
13.02.2019;1.2848000
14.02.2019;1.2792000
15.02.2019;1.2891000
16.02.2019;1.2893000
17.02.2019;1.2918000
18.02.2019;1.2927000
19.02.2019;1.3066000
20.02.2019;1.3055000
21.02.2019;1.3036000
22.02.2019;1.3051000
23.02.2019;1.3049000
24.02.2019;1.3068000
25.02.2019;1.3101000
26.02.2019;1.3255000
27.02.2019;1.3306000
28.02.2019;1.3261000
01.03.2019;1.3202000
02.03.2019;1.3203000
03.03.2019;1.3258000
04.03.2019;1.3176000
05.03.2019;1.3176000
06.03.2019;1.3177000
07.03.2019;1.3073000
08.03.2019;1.3012000
09.03.2019;1.3016000
10.03.2019;1.2971000
11.03.2019;1.3148000
12.03.2019;1.3070000
13.03.2019;1.3335000
14.03.2019;1.3240000
15.03.2019;1.3289000
16.03.2019;1.3296000
17.03.2019;1.3294000
18.03.2019;1.3253000
19.03.2019;1.3265000
20.03.2019;1.3195000
21.03.2019;1.3104000
22.03.2019;1.3206000
23.03.2019;1.3214000
24.03.2019;1.3215000
25.03.2019;1.3195000
26.03.2019;1.3207000
27.03.2019;1.3185000
28.03.2019;1.3042000
29.03.2019;1.3030000
30.03.2019;1.3043000
31.03.2019;1.3040000
01.04.2019;1.3101000
02.04.2019;1.3132000
03.04.2019;1.3154000
04.04.2019;1.3073000
05.04.2019;1.3034000
06.04.2019;1.3036000
07.04.2019;1.3038000
08.04.2019;1.3056000
09.04.2019;1.3048000
10.04.2019;1.3086000
11.04.2019;1.3050000
12.04.2019;1.3071000
13.04.2019;1.3072000
14.04.2019;1.3079000
15.04.2019;1.3094000
16.04.2019;1.3047000
17.04.2019;1.3038000
18.04.2019;1.2989000
19.04.2019;1.2991000
20.04.2019;1.2994000
21.04.2019;1.2994000
22.04.2019;1.2981000
23.04.2019;1.2934000
24.04.2019;1.2899000
25.04.2019;1.2897000
26.04.2019;1.2914000
27.04.2019;1.2917000
28.04.2019;1.2922000
29.04.2019;1.2932000
30.04.2019;1.3029000
01.05.2019;1.3049000
02.05.2019;1.3031000
03.05.2019;1.3170000
04.05.2019;1.3173000
05.05.2019;1.3146000
06.05.2019;1.3096000
07.05.2019;1.3074000
08.05.2019;1.3005000
09.05.2019;1.3004000
10.05.2019;1.2997000
11.05.2019;1.2999000
12.05.2019;1.3000000
13.05.2019;1.2956000
14.05.2019;1.2903000
15.05.2019;1.2841000
16.05.2019;1.2793000
17.05.2019;1.2716000
18.05.2019;1.2718000
19.05.2019;1.2735000
20.05.2019;1.2723000
21.05.2019;1.2705000
22.05.2019;1.2660000
23.05.2019;1.2655000
24.05.2019;1.2711000
25.05.2019;1.2711000
26.05.2019;1.2727000
27.05.2019;1.2677000
28.05.2019;1.2651000
29.05.2019;1.2625000
30.05.2019;1.2605000
31.05.2019;1.2626000
02.06.2019;1.2630000
03.06.2019;1.2663000
04.06.2019;1.2697000
05.06.2019;1.2684000
06.06.2019;1.2693000
07.06.2019;1.2733000
08.06.2019;1.2736000
09.06.2019;1.2738000
10.06.2019;1.2684000
11.06.2019;1.2723000
12.06.2019;1.2686000
13.06.2019;1.2671000
14.06.2019;1.2586000
15.06.2019;1.2590000
16.06.2019;1.2586000
17.06.2019;1.2533000
18.06.2019;1.2556000
19.06.2019;1.2637000
20.06.2019;1.2700000
21.06.2019;1.2740000
22.06.2019;1.2738000
23.06.2019;1.2736000
24.06.2019;1.2738000
25.06.2019;1.2686000
26.06.2019;1.2685000
27.06.2019;1.2669000
28.06.2019;1.2693000
29.06.2019;1.2696000
30.06.2019;1.2699000
01.07.2019;1.2639000
02.07.2019;1.2592000
03.07.2019;1.2572000
04.07.2019;1.2576000
05.07.2019;1.2523000
07.07.2019;1.2526000
08.07.2019;1.2510000
09.07.2019;1.2458000
10.07.2019;1.2503000
11.07.2019;1.2520000
12.07.2019;1.2570000
13.07.2019;1.2573000
15.07.2019;1.2515000
16.07.2019;1.2407000
17.07.2019;1.2432000
18.07.2019;1.2543000
19.07.2019;1.2499000
20.07.2019;1.2499000
21.07.2019;1.2497000
22.07.2019;1.2472000
23.07.2019;1.2438000
24.07.2019;1.2483000
25.07.2019;1.2449000
26.07.2019;1.2380000
27.07.2019;1.2380000
28.07.2019;1.2374000
29.07.2019;1.2215000
30.07.2019;1.2157000
31.07.2019;1.2153000
01.08.2019;1.2123000
02.08.2019;1.2161000
04.08.2019;1.2150000
05.08.2019;1.2156000
06.08.2019;1.2170000
07.08.2019;1.2140000
08.08.2019;1.2141000
09.08.2019;1.2034000
11.08.2019;1.2019000
12.08.2019;1.2077000
13.08.2019;1.2062000
14.08.2019;1.2060000
15.08.2019;1.2091000
16.08.2019;1.2144000
18.08.2019;1.2158000
19.08.2019;1.2128000
20.08.2019;1.2161000
21.08.2019;1.2131000
22.08.2019;1.2251000
23.08.2019;1.2284000
25.08.2019;1.2260000
26.08.2019;1.2221000
27.08.2019;1.2279000
28.08.2019;1.2218000
29.08.2019;1.2184000
30.08.2019;1.2155000
01.09.2019;1.2158000
02.09.2019;1.2064000
03.09.2019;1.2090000
04.09.2019;1.2246000
05.09.2019;1.2324000
06.09.2019;1.2278000
08.09.2019;1.2284000
09.09.2019;1.2345000
10.09.2019;1.2357000
11.09.2019;1.2334000
12.09.2019;1.2328000
13.09.2019;1.2505000
15.09.2019;1.2496000
16.09.2019;1.2425000
17.09.2019;1.2501000
18.09.2019;1.2468000
19.09.2019;1.2522000
20.09.2019;1.2478000
22.09.2019;1.2470000
23.09.2019;1.2432000
24.09.2019;1.2485000
25.09.2019;1.2358000
26.09.2019;1.2328000
27.09.2019;1.2288000
29.09.2019;1.2292000
30.09.2019;1.2287000
01.10.2019;1.2290000
02.10.2019;1.2304000
03.10.2019;1.2340000
04.10.2019;1.2332000
06.10.2019;1.2334000
07.10.2019;1.2287000
08.10.2019;1.2219000
09.10.2019;1.2212000
10.10.2019;1.2430000
11.10.2019;1.2642000
13.10.2019;1.2616000
14.10.2019;1.2608000
15.10.2019;1.2759000
