"";"X.DATE.";"X.CLOSE.F.";"X.CLOSE.INDEX.";"X.CLOSE.GOLD.";"X.CLOSE.OIL.";"X.CLOSE.FRANK.";"X.CLOSE.EURO.";"X.CLOSE.PLATINUM.";"X.CLOSE.CROWN."
"1";"05.02.2019";1,2955;2737,7;1318;62,11;0,9999;1,14128;819,4;8,47681
"2";"06.02.2019";1,2936;2731,61;1307,8;62,55;0,9979;1,13682;807;8,53577
"3";"07.02.2019";1,2949;2706,05;1313,4;61,68;0,9976;1,13425;797,3;8,59329
"4";"08.02.2019";1,2935;2707,88;1318,2;61,97;0,9997;1,13221;802,4;8,63694
"5";"11.02.2019";1,2862;2709,8;1312,3;61,58;0,9954;1,12764;789,8;8,71929
"6";"12.02.2019";1,2895;2744,73;1316,8;62,61;0,9939;1,13315;792,9;8,64719
"7";"13.02.2019";1,2848;2753,03;1312;63,6;0,9908;1,12663;787,9;8,6585
"8";"14.02.2019";1,2792;2745,73;1315,3;64,56;0,9946;1,12915;785,8;8,64773
"9";"15.02.2019";1,2891;2775,6;1325;66,39;0,995;1,12991;808,4;8,6304
"10";"19.02.2019";1,3066;2779,76;1345,5;66,44;0,9989;1,13427;822,3;8,5624
"11";"20.02.2019";1,3055;2784,7;1341,6;67,18;0,999;1,13395;825,5;8,5867
"12";"21.02.2019";1,3036;2774,88;1328,1;66,94;0,9987;1,13384;830,1;8,62533
"13";"22.02.2019";1,3051;2792,67;1330,7;66,91;0,9994;1,13321;845,6;8,61182
"14";"25.02.2019";1,3101;2796,11;1330,7;64,92;0,9995;1,13613;861,8;8,59754
"15";"26.02.2019";1,3255;2793,9;1329,5;65,79;1;1,13918;866;8,56071
"16";"27.02.2019";1,3306;2792,38;1319,8;66,47;0,9986;1,1371;867,2;8,54906
"17";"28.02.2019";1,3261;2784,49;1312,9;66,28;1,0015;1,13731;873,1;8,55623
"18";"01.03.2019";1,3202;2803,69;1294,5;65;1,0007;1,13644;862,4;8,586
"19";"04.03.2019";1,3176;2792,81;1289,2;65,55;1,0012;1,13422;840,8;8,63977
"20";"05.03.2019";1,3176;2789,65;1289,2;65,57;0,9955;1,13077;833,8;8,66134
"21";"06.03.2019";1,3177;2771,45;1284,9;65,93;0,9952;1,1311;825;8,66381
"22";"07.03.2019";1,3073;2748,93;1291;66,09;0,988;1,11812;816,1;8,79048
"23";"08.03.2019";1,3012;2743,07;1298,6;65,81;0,9918;1,12317;818,5;8,74823
"24";"11.03.2019";1,3148;2783,3;1296,7;66,63;0,9892;1,12439;826,1;8,65897
"25";"12.03.2019";1,307;2791,52;1304,8;66,82;0,9921;1,12856;835,9;8,62919
"26";"13.03.2019";1,3335;2810,92;1303;67,64;0,9962;1,13268;835,4;8,55373
"27";"14.03.2019";1,324;2808,48;1297,7;67,18;0,996;1,13034;829,7;8,57059
"28";"15.03.2019";1,3289;2822,48;1302,3;67,02;0,9975;1,13236;831,5;8,52098
"29";"18.03.2019";1,3253;2832,94;1307,6;67,43;0,9989;1,13351;838,9;8,54308
"30";"19.03.2019";1,3265;2832,57;1304,6;67,71;1,0006;1,1351;856,8;8,52384
"31";"20.03.2019";1,3195;2824,23;1318,7;68,3;1,0072;1,14131;870;8,49519
"32";"21.03.2019";1,3104;2854,88;1307,9;67,74;1,0079;1,13726;858,7;8,44831
"33";"22.03.2019";1,3206;2800,71;1313,4;67,08;1,0062;1,12999;848,2;8,54876
"34";"25.03.2019";1,3195;2798,36;1319,4;66,9;1,0075;1,13112;854,6;8,53211
"35";"26.03.2019";1,3207;2818,46;1314,4;67,44;1,0053;1,12639;861,3;8,54251
"36";"27.03.2019";1,3185;2805,37;1309,6;67,3;1,005;1,12439;855,6;8,6237
"37";"28.03.2019";1,3042;2815,44;1293,5;67,31;1,0042;1,12183;842,8;8,63894
"38";"29.03.2019";1,303;2834,4;1297;67,55;1,0045;1,12172;846,9;8,6226
"39";"01.04.2019";1,3101;2867,19;1290,4;69,16;1,0008;1,1212;854;8,57907
"40";"02.04.2019";1,3132;2867,24;1297,4;69,57;1,0017;1,1203;863,7;8,5979
"41";"03.04.2019";1,3154;2873,4;1297;69,52;1,0017;1,1232;878,9;8,5707
"42";"04.04.2019";1,3073;2879,39;1293,6;69,31;0,9997;1,12199;895,6;8,59846
"43";"05.04.2019";1,3034;2892,74;1295,9;70,48;0,9995;1,1214;905,1;8,60507
"44";"08.04.2019";1,3056;2895,77;1303,3;71,1;1,0008;1,12605;907,9;8,54525
"45";"09.04.2019";1,3048;2878,2;1306,4;70,83;0,9999;1,12612;895,3;8,55093
"46";"10.04.2019";1,3086;2888,21;1310,9;71,57;0,9973;1,1273;910,6;8,49174
"47";"11.04.2019";1,305;2888,32;1296;70,98;0,9965;1,12513;898,5;8,52959
"48";"12.04.2019";1,3071;2907,41;1293,5;71,55;0,9969;1,12964;895,4;8,48206
